127.0.0.1 - - [29/Sep/2018:17:40:16 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:27 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:27 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:27 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:46:28 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:31 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:31 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:32 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:33 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:34 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:35 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:52:35 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:55:24 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:55:25 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:55:25 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:55:53 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:55:53 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:57:44 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:57:45 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:13 -0400] "GET /MyProject/loginHtml.jsp HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:13 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:14 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:38 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:39 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:40 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:40 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:41 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:41 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:42 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:42 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:43 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:43 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:44 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:44 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:45 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:45 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:45 -0400] "GET /MyProject/mainHtml.jsp HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [29/Sep/2018:17:58:45 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:20 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:21 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:23 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:23 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:24 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:24 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:26 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:26 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:33 -0400] "GET /MyProject/Controller?firstname=asdad&lastname=asdad&password=adssad&password2=asdad&email=adsad&regbtn=Register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:01:33 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:32 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:34 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:34 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:36 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:36 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:40 -0400] "GET /MyProject/Controller?firstname=adsad&lastname=asdasd&password=adasd&password2=asdad&email=adasd&toRegisterSuccess=Register HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:40 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:42 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:43 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:44 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:03:44 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:16 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:16 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:18 -0400] "GET /MyProject/Controller?userName=adsad&passwordText=asdasd&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:18 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:18 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:05:21 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:47 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:47 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:51 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:51 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:51 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:52 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:53 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:53 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:53 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:53 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:54 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:09:54 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:05 -0400] "GET /MyProject/Controller?firstname=aada&lastname=dadsa&password=123&password2=123&email=abc&toRegisterSuccess=Register HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:05 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:06 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:06 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:14 -0400] "GET /MyProject/Controller?userName=abc&passwordText=123&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:14 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:14 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:15 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:24 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:24 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:31 -0400] "GET /MyProject/Controller?firstname=ada&lastname=dsad&password=123&password2=123&email=asd&toRegisterSuccess=Register HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:31 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:34 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:34 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:39 -0400] "GET /MyProject/Controller?userName=asd&passwordText=123&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:39 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:10:39 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:19 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:21 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:21 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:23 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:23 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:24 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:24 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:24 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:12:25 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:35 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:35 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:44 -0400] "GET /MyProject/Controller?userName=adssad&passwordText=asdad&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:44 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:44 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:48 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:49 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:13:49 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:01 -0400] "GET /MyProject/Controller?firstname=asdsad&lastname=adad&password=123&password2=123&email=asd&toRegisterSuccess=Register HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:01 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:02 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:02 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:04 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:04 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:04 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:07 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:07 -0400] "GET /MyProject/Controller?userName=&passwordText=&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:07 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:07 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:09 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:16 -0400] "GET /MyProject/Controller?userName=clau&passwordText=blah&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:16 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:14:16 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:15:57 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:15:57 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:15:58 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:00 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:00 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:05 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:05 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:07 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:07 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:26 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:37 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:37 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:38 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:39 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:48 -0400] "GET /MyProject/Controller?firstname=adad&lastname=asdasd&regpassword=123&regpassword2=123&regemail=blah&toRegisterSuccess=Register HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:16:48 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:21 -0400] "GET /MyProject/Controller?firstname=adad&lastname=asdasd&regpassword=123&regpassword2=123&regemail=blah&toRegisterSuccess=Register HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:21 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:23 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:23 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:25 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:25 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:37 -0400] "GET /MyProject/Controller?firstname=asdad&lastname=adsad&regpassword=123&regpassword2=123&regemail=blah&toRegisterSuccess=Register HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:18:37 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:19:55 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:19:55 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:19:58 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:19:58 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:20:00 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:20:00 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:20:03 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:20:03 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:23:17 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:23:17 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:23:52 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:23:52 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:24:02 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:24:02 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:49 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:49 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:52 -0400] "GET /MyProject/Login.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:52 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:55 -0400] "GET /MyProject/Controller?userName=asd&passwordText=asd&toAccount=Login+Btb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:55 -0400] "GET /MyProject/LoginFailPage.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:55 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:57 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:57 -0400] "GET /MyProject/RegistrationPage.jsp HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/Sep/2018:18:25:57 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
